Locale ID,Language,LCID
af-ZA,Afrikaans,1078
am-ET,Amharic,1118
ar-SA,Arabic,1025
as-IN,Assamese,1101
az-Latn-AZ,Azerbaijani (Latin),1068
be-BY,Belarusian,1059
bg-BG,Bulgarian,1026
bn-BD,Bangla (Bangladesh),2117
bn-IN,Bangla (India),1093
bs-Latn-BA,Bosnian (Latin),5146
ca-ES,Catalan,1027
ca-ES-valencia,Valencian,2051
chr-Cher-US,Cherokee,1116
cs-CZ,Czech,1029
cy-GB,Welsh,1106
da-DK,Danish,1030
de-DE,German,1031
el-GR,Greek,1032
en-gb,English (United Kingdom),2057
en-US,English (United States),1033
es-ES,Spanish,3082
es-mx,Spanish (Mexico),2058
et-EE,Estonian,1061
eu-ES,Basque,1069
fa-IR,Persian (aka Farsi),1065
fi-FI,Finnish,1035
fil-PH,Filipino,1124
fr-ca,French (Canada),3084
fr-FR,French,1036
ga-IE,Gaelic Irish,2108
gd-GB,Scottish Gaelic,1084
gl-ES,Galician,1110
gu-IN,Gujarati,1095
ha-Latn-NG,Hausa (Latin),1128
he-IL,Hebrew,1037
hi-IN,Hindi,1081
hr-HR,Croatian,1050
hu-HU,Hungarian,1038
hy-AM,Armenian,1067
id-ID,Indonesian,1057
is-IS,Icelandic,1039
it-IT,Italian,1040
ja-JP,Japanese,1041
ka-GE,Georgian,1079
kk-KZ,Kazakh,1087
km-KH,Khmer,1107
kn-IN,Kannada,1099
kok-IN,Konkani,1111
ko-KR,Korean,1042
ky-KG,Kyrgyz,1088
lb-LU,Luxembourgish,1134
lo-la,Lao,1108
lt-LT,Lithuanian,1063
lv-LV,Latvian,1062
mi-NZ,Maori,1153
mk-MK,Macedonian,1071
ml-IN,Malayalam,1100
mn-MN,Mongolian (Cyrillic),1104
mr-IN,Marathi,1102
ms-MY,Malay,1086
mt-MT,Maltese,1082
nb-NO,Norwegian (Bokmål),1044
ne-NP,Nepali,1121
nl-NL,Dutch,1043
nn-NO,Norwegian (Nynorsk),2068
or-IN,Odia (aka Oriya),1096
pa-IN,Punjabi (India),1094
pl-PL,Polish,1045
prs-AF,Dari,1164
pt-BR,Portuguese (Brazil),1046
pt-PT,Portuguese (Portugal),2070
quz-PE,Quechua,3179
ro-Ro,Romanian,1048
ru-Ru,Russian,1049
sd-Arab-PK,Sindhi,2137
si-LK,Sinhala,1115
sk-SK,Slovak,1051
sl-SI,Slovenian,1060
sq-AL,Albanian,1052
sr-Cyrl-BA,"Serbian (Cyrillic, Bosnia and Herzegovina)",7194
sr-Cyrl-RS,Serbian (Cyrillic),10266
sr-Latn-RS,Serbian (Latin),9242
sv-SE,Swedish,1053
sw-KE,Kiswahili,1089
ta-IN,Tamil,1097
te-IN,Telugu,1098
th-TH,Thai,1054
tk-TM,Turkmen,1090
tr-TR,Turkish,1055
tt-RU,Tatar,1092
ug-CN,Uyghur,1152
uk-UA,Ukrainian,1058
ur-PK,Urdu,1056
uz-Latn-UZ,Uzbek,1091
vi-VN,Vietnamese,1066
zh-CN,Chinese (Simplified),2052
zh-TW,Chinese (Traditional),1028
